,index,Names,isMale
6397,9206,ΣΤΕΛΙΑ,0
6398,3399,ΣΤΕΛΙΑΝ,1
6399,9207,ΣΤΕΛΙΑΝΗ,0
6400,9208,ΣΤΕΛΙΝΑ,0
6401,3889,ΣΤΕΛΙΟ,1
6402,3890,ΣΤΕΛΙΟΣ,1
6403,3891,ΣΤΕΛΛΑ,1
6404,9212,ΣΤΕΛΛΑΕΥΓΕΝΙΑ,0
6405,9213,ΣΤΕΛΛΑΖΑΧΙΓΙΕ,0
6406,3892,ΣΤΕΛΛΙΟΣ,1
6407,3893,ΣΤΕΡΓΙ,1
6408,9218,ΣΤΕΡΓΙΑΝ,0
6409,9219,ΣΤΕΡΓΙΑΝΑ,0
6410,3894,ΣΤΕΡΓΙΑΝΗ,1
6411,9221,ΣΤΕΡΓΙΑΝΗΕΙΡΗΝΗ,0
6412,9224,ΣΤΕΡΓΙΑΝΘΗ,0
6413,9225,ΣΤΕΡΓΙΑΝΝΗ,0
6414,3895,ΣΤΕΡΓΙΑΝΟΣ,1
6415,9226,ΣΤΕΡΓΙΑΝΩ,0
6416,9227,ΣΤΕΡΓΙΝΑ,0
6417,3896,ΣΤΕΡΓΙΟ,1
6418,9228,ΣΤΕΡΓΙΟΣ,0
6419,3902,ΣΤΕΡΓΙΩΝΗΣ,1
6420,3903,ΣΤΕΡΓΚΟΣ,1
6421,3904,ΣΤΕΡΓΟΣ,1
6422,3905,ΣΤΕΡΕ,1
6423,3906,ΣΤΕΡΙΑΝΑ,1
6424,9229,ΣΤΕΡΙΑΝΗ,0
6425,3908,ΣΤΕΡΙΑΝΟΣ,1
6426,9230,ΣΤΕΡΙΘΑΝΗ,0
6427,3909,ΣΤΕΡΙΟΣ,1
6428,3912,ΣΤΕΦΑΝΑΚΗΣ,1
6429,9231,ΣΤΕΦΑΝΗ,0
6430,3913,ΣΤΕΦΑΝΙΑ,1
6431,9233,ΣΤΕΦΑΝΙΑΔΑΝΑΗ,0
6432,9238,ΣΤΕΦΑΝΙΕ,0
6433,3914,ΣΤΕΦΑΝΙΟΣ,1
6434,3911,ΣΤΕΦΑΝΝΕΜΑΝΙΑ,1
6435,3915,ΣΤΕΦΑΝΟ,1
6436,9239,ΣΤΕΦΑΝΟΣ,0
