,Names,isMale
138,ΑΛΕΞΑΝΔΡΟΣ,1
131,ΑΛΕΞΑΝΔΡΟΣ,1
139,ΑΛΕΞΑΝΔΡΟΣ,1
144,ΑΛΕΞΙΑ,0
145,ΑΛΕΞΙΟΣ,1
146,ΑΛΙ,1
151,ΑΛΙΚΗ,0
147,ΑΛΙΚΗ,0
148,ΑΛΙΚΗ,0
149,ΑΛΙΚΗ,0
150,ΑΛΙΚΗ,0
152,ΑΛΚΗΣ,1
153,ΑΛΚΜΗΝΗ,0
154,ΑΛΜΑ,0
155,ΑΛΜΑ,0
156,ΑΛΤΙΝΑ,0
157,ΑΜΑΛΙΑ,0
158,ΑΜΑΛΙΑ,0
160,ΑΜΑΛΙΑ,0
162,ΑΜΑΛΙΑ,0
163,ΑΜΑΛΙΑ,0
164,ΑΜΑΛΙΑ,0
159,ΑΜΑΛΙΑ,0
161,ΑΜΑΛΙΑ,0
165,ΑΜΒΡΟΣΙΟΣ,1
167,ΑΜΠΑΣ,1
166,ΑΜΠΑΣ,1
168,ΑΜΥΓΔΑΛΙΑ,0
169,ΑΜΦΙΘΕΑ,0
170,ΑΝΑ,0
171,ΑΝΑΙΤ,0
172,ΑΝΑΡΓΥΡΟΣ,1
173,ΑΝΑΡΓΥΡΟΣ,1
174,ΑΝΑΣΤ,0
175,ΑΝΑΣΤΑ,0
176,ΑΝΑΣΤΑΣΙ,0
184,ΑΝΑΣΤΑΣΙΑ,0
188,ΑΝΑΣΤΑΣΙΑ,0
194,ΑΝΑΣΤΑΣΙΑ,0
193,ΑΝΑΣΤΑΣΙΑ,0
192,ΑΝΑΣΤΑΣΙΑ,0
191,ΑΝΑΣΤΑΣΙΑ,0
190,ΑΝΑΣΤΑΣΙΑ,0
189,ΑΝΑΣΤΑΣΙΑ,0
197,ΑΝΑΣΤΑΣΙΑ,0
187,ΑΝΑΣΤΑΣΙΑ,0
186,ΑΝΑΣΤΑΣΙΑ,0
185,ΑΝΑΣΤΑΣΙΑ,0
183,ΑΝΑΣΤΑΣΙΑ,0
182,ΑΝΑΣΤΑΣΙΑ,0
181,ΑΝΑΣΤΑΣΙΑ,0
180,ΑΝΑΣΤΑΣΙΑ,0
179,ΑΝΑΣΤΑΣΙΑ,0
178,ΑΝΑΣΤΑΣΙΑ,0
177,ΑΝΑΣΤΑΣΙΑ,0
198,ΑΝΑΣΤΑΣΙΑ,0
199,ΑΝΑΣΤΑΣΙΑ,0
200,ΑΝΑΣΤΑΣΙΑ,0
201,ΑΝΑΣΤΑΣΙΑ,0
195,ΑΝΑΣΤΑΣΙΑ,0
196,ΑΝΑΣΤΑΣΙΑ,0
203,ΑΝΑΣΤΑΣΙΟΣ,1
202,ΑΝΑΣΤΑΣΙΟΣ,0
204,ΑΝΑΣΤΑΣΙΟΣ,1
211,ΑΝΑΣΤΑΣΙΟΣ,1
210,ΑΝΑΣΤΑΣΙΟΣ,1
209,ΑΝΑΣΤΑΣΙΟΣ,1
207,ΑΝΑΣΤΑΣΙΟΣ,1
206,ΑΝΑΣΤΑΣΙΟΣ,1
205,ΑΝΑΣΤΑΣΙΟΣ,1
208,ΑΝΑΣΤΑΣΙΟΣ,0
212,ΑΝΑΤΟΛΗ,0
213,ΑΝΑΤΟΛΗ,0
214,ΑΝΔΡΕΑΝΑ,0
215,ΑΝΔΡΕΑΣ,1
216,ΑΝΔΡΕΑΣ,1
217,ΑΝΔΡΕΑΣ,1
218,ΑΝΔΡΕΑΣ,1
219,ΑΝΔΡΕΑΣ,1
220,ΑΝΔΡΙΑΝΑ,0
222,ΑΝΔΡΙΑΝΑ,0
221,ΑΝΔΡΙΑΝΑ,0
223,ΑΝΔΡΙΑΝΑ,0
224,ΑΝΔΡΙΑΝΗ,0
225,ΑΝΔΡΙΑΝΗ,0
227,ΑΝΔΡΟΜΑΧΗ,0
226,ΑΝΔΡΟΜΑΧΗ,0
229,ΑΝΔΡΟΝΙΚΗ,0
228,ΑΝΔΡΟΝΙΚΗ,0
230,ΑΝΔΡΟΝΙΚΟΣ,1
231,ΑΝΕΣΤΗΣ,1
232,ΑΝΘΗ,0
233,ΑΝΘΗ,0
234,ΑΝΘΗ,0
235,ΑΝΘΙΑ,0
236,ΑΝΘΟΥΛΑ,0
239,ΑΝΘΟΥΛΑ,0
238,ΑΝΘΟΥΛΑ,0
237,ΑΝΘΟΥΛΑ,0
240,ΑΝΙΚΟ,0
255,ΑΝΝΑ,1
243,ΑΝΝΑ,0
262,ΑΝΝΑ,0
267,ΑΝΝΑ,0
266,ΑΝΝΑ,0
265,ΑΝΝΑ,0
263,ΑΝΝΑ,0
261,ΑΝΝΑ,0
260,ΑΝΝΑ,0
259,ΑΝΝΑ,0
258,ΑΝΝΑ,0
257,ΑΝΝΑ,0
256,ΑΝΝΑ,0
254,ΑΝΝΑ,0
253,ΑΝΝΑ,0
252,ΑΝΝΑ,0
251,ΑΝΝΑ,0
250,ΑΝΝΑ,0
249,ΑΝΝΑ,0
248,ΑΝΝΑ,0
247,ΑΝΝΑ,0
246,ΑΝΝΑ,0
245,ΑΝΝΑ,0
244,ΑΝΝΑ,0
242,ΑΝΝΑ,0
241,ΑΝΝΑ,0
268,ΑΝΝΑ,0
269,ΑΝΝΑ,0
264,ΑΝΝΑ,0
270,ΑΝΝΑΜΑΡΙΑ,0
272,ΑΝΤΖΕΛΑ,0
271,ΑΝΤΖΕΛΑ,0
273,ΑΝΤΙ,0
275,ΑΝΤΙΓΟΝΗ,0
274,ΑΝΤΙΓΟΝΗ,0
276,ΑΝΤΡΙ,1
277,ΑΝΤΩΝΗΣ,1
281,ΑΝΤΩΝΙΑ,0
284,ΑΝΤΩΝΙΑ,0
280,ΑΝΤΩΝΙΑ,0
282,ΑΝΤΩΝΙΑ,0
278,ΑΝΤΩΝΙΑ,0
283,ΑΝΤΩΝΙΑ,0
279,ΑΝΤΩΝΙΑ,0
285,ΑΝΤΩΝΙΟΣ,0
286,ΑΝΤΩΝΙΟΣ,1
287,ΑΝΤΩΝΙΟΣ,1
288,ΑΝΤΩΝΙΟΣ,1
289,ΑΝΤΩΝΙΟΣ,1
290,ΑΞΙΟΘΕΑ,0
291,ΑΠΟΛΛΩΝ,1
292,ΑΠΟΣΤΟΛΙΑ,0
293,ΑΠΟΣΤΟΛΙΑ,0
294,ΑΠΟΣΤΟΛΟΣ,1
295,ΑΠΟΣΤΟΛΟΣ,1
296,ΑΠΟΣΤΟΛΟΣ,1
299,ΑΠΟΣΤΟΛΟΣ,0
298,ΑΠΟΣΤΟΛΟΣ,1
297,ΑΠΟΣΤΟΛΟΣ,1
300,ΑΡΓΥΡΗ,0
301,ΑΡΓΥΡΙΟΣ,0
302,ΑΡΓΥΡΙΟΣ,1
303,ΑΡΓΥΡΟΥΛΑ,0
307,ΑΡΓΥΡΩ,0
305,ΑΡΓΥΡΩ,0
304,ΑΡΓΥΡΩ,0
306,ΑΡΓΥΡΩ,0
309,ΑΡΕΤΗ,0
308,ΑΡΕΤΗ,0
312,ΑΡΗΣ,1
311,ΑΡΗΣ,1
310,ΑΡΗΣ,1
314,ΑΡΙΑΔΝΗ,0
313,ΑΡΙΑΔΝΗ,0
317,ΑΡΙΣΤΕΑ,0
316,ΑΡΙΣΤΕΑ,0
315,ΑΡΙΣΤΕΑ,0
318,ΑΡΙΣΤΕΙΔΗΣ,1
319,ΑΡΙΣΤΕΙΔΗΣ,1
320,ΑΡΙΣΤΗ,0
321,ΑΡΙΣΤΟΣ,0
323,ΑΡΙΣΤΟΤΕΛΗΣ,0
322,ΑΡΙΣΤΟΤΕΛΗΣ,1
324,ΑΡΙΣΤΟΦΑΝΗΣ,1
325,ΑΡΜΑΝΔΟΣ,1
326,ΑΡΜΠΕΝ,0
327,ΑΡΡΕΝ,1
328,ΑΡΡΕΝ,1
329,ΑΡΤΕΜΗΣ,0
332,ΑΡΤΕΜΙΣ,0
333,ΑΡΤΕΜΙΣ,0
331,ΑΡΤΕΜΙΣ,0
330,ΑΡΤΕΜΙΣ,0
334,ΑΡΧΟΝΤΙΑ,0
335,ΑΡΧΟΝΤΟΥΛΑ,0
338,ΑΣΗΜΕΝΙΑ,0
337,ΑΣΗΜΕΝΙΑ,0
336,ΑΣΗΜΕΝΙΑ,0
341,ΑΣΗΜΙΝΑ,0
340,ΑΣΗΜΙΝΑ,0
339,ΑΣΗΜΙΝΑ,0
342,ΑΣΗΜΟΥΛΑ,0
343,ΑΣΠΑΣΙΑ,0
345,ΑΣΠΑΣΙΑ,0
344,ΑΣΠΑΣΙΑ,0
346,ΑΣΠΑΣΙΑ,0
347,ΑΣΤΕΡΙΟΣ,1
348,ΑΥΓΗ,0
350,ΑΥΞΕΝΤΙΟΣ,1
349,ΑΥΞΕΝΤΙΟΣ,1
351,ΑΦΡΟΔΙΤΗ,0
352,ΑΦΡΟΔΙΤΗ,0
353,ΑΦΡΟΔΙΤΗ,0
354,ΑΧΙΛΛΕΑΣ,1
356,ΑΧΙΛΛΕΑΣ,0
355,ΑΧΙΛΛΕΑΣ,1
357,ΑΧΙΛΛΕΥΣ,1
358,ΑΧΙΛΛΕΥΣ,0
359,ΑΧΜΕΤ,1
360,ΑΧΜΕΤ,0
362,ΒΑΙΑ,0
361,ΒΑΙΑ,0
363,ΒΑΙΑ,0
364,ΒΑΙΑ,0
365,ΒΑΛΑΝΤΗΣ,1
366,ΒΑΛΑΣΗΣ,1
367,ΒΑΛΑΣΙΑ,0
368,ΒΑΛΑΣΙΑ,0
369,ΒΑΛΕΝΤΙΝ,0
370,ΒΑΛΕΝΤΙΝΑ,0
371,ΒΑΛΕΝΤΙΝΗ,0
372,ΒΑΛΕΝΤΙΝΗ,0
373,ΒΑΛΕΝΤΙΝΗ,0
377,ΒΑΡΒΑΡΑ,0
376,ΒΑΡΒΑΡΑ,0
375,ΒΑΡΒΑΡΑ,0
381,ΒΑΡΒΑΡΑ,0
380,ΒΑΡΒΑΡΑ,0
379,ΒΑΡΒΑΡΑ,0
378,ΒΑΡΒΑΡΑ,0
374,ΒΑΡΒΑΡΑ,0
382,ΒΑΡΔΗΣ,1
384,ΒΑΣΙΛΕΙΑ,0
383,ΒΑΣΙΛΕΙΑ,0
