,Suffix 3,Female,Male,ASCII 1,ASCII 2,ASCII 3
746,ΝΙΞ,0.0,1.0,140,136,141
747,ΝΙΟ,0.0,1.0,140,136,142
748,ΝΙΡ,0.0,1.0,140,136,144
749,ΝΙΣ,1.0,8.0,140,136,146
750,ΝΙΤ,0.0,1.0,140,136,147
751,ΝΙΦ,1.0,0.0,140,136,149
752,ΝΙΩ,13.0,0.0,140,136,152
753,ΝΚΑ,27.0,1.0,140,137,128
754,ΝΚΕ,2.0,0.0,140,137,132
755,ΝΚΗ,1.0,0.0,140,137,134
756,ΝΚΟ,0.0,3.0,140,137,142
757,ΝΝΑ,50.0,3.0,140,140,128
758,ΝΝΗ,5.0,2.0,140,140,134
759,ΝΝΥ,1.0,0.0,140,140,148
760,ΝΝΩ,1.0,0.0,140,140,152
761,ΝΟ,0.0,1.0,140,142,142
762,ΝΟΕ,0.0,1.0,140,142,132
763,ΝΟΗ,4.0,0.0,140,142,134
764,ΝΟΛ,0.0,2.0,140,142,138
765,ΝΟΝ,0.0,1.0,140,142,140
766,ΝΟΡ,0.0,3.0,140,142,144
767,ΝΟΣ,0.0,98.0,140,142,146
768,ΝΟΥ,5.0,2.0,140,142,148
769,ΝΡΑ,1.0,0.0,140,144,128
770,ΝΡΙ,0.0,3.0,140,144,136
771,ΝΡΥ,0.0,1.0,140,144,148
772,ΝΣΑ,2.0,0.0,140,146,128
773,ΝΣΙ,0.0,3.0,140,146,136
774,ΝΤ,0.0,1.0,140,147,147
775,ΝΤΑ,97.0,9.0,140,147,128
776,ΝΤΕ,7.0,5.0,140,147,132
777,ΝΤΗ,10.0,5.0,140,147,134
778,ΝΤΙ,7.0,28.0,140,147,136
779,ΝΤΛ,0.0,1.0,140,147,138
780,ΝΤΟ,4.0,10.0,140,147,142
781,ΝΤΡ,0.0,2.0,140,147,144
782,ΝΤΣ,0.0,4.0,140,147,146
783,ΝΤΥ,1.0,0.0,140,147,148
784,ΝΤΩ,6.0,0.0,140,147,152
785,ΝΥΟ,0.0,1.0,140,148,142
786,ΝΥΣ,0.0,1.0,140,148,146
787,ΝΩΕ,0.0,1.0,140,152,132
788,ΝΩΝ,0.0,2.0,140,152,140
789,ΝΩΡ,0.0,1.0,140,152,144
790,ΞΑΝ,2.0,0.0,141,128,140
791,ΞΑΣ,0.0,1.0,141,128,146
792,ΞΕΙ,0.0,1.0,141,132,136
793,ΞΕΛ,0.0,1.0,141,132,138
794,ΞΕΝ,1.0,0.0,141,132,140
795,ΞΗΣ,0.0,3.0,141,134,146
796,ΞΙΑ,10.0,1.0,141,136,128
797,ΞΙΜ,0.0,1.0,141,136,139
798,ΞΙΝ,0.0,1.0,141,136,140
799,ΞΟΣ,0.0,4.0,141,142,146
800,ΟΑΡ,1.0,0.0,142,128,144
801,ΟΑΣ,0.0,1.0,142,128,146
802,ΟΒΑ,5.0,2.0,142,129,128
803,ΟΒΗ,1.0,0.0,142,129,134
804,ΟΓΟ,0.0,2.0,142,130,142
805,ΟΔΑ,1.0,0.0,142,131,128
806,ΟΔΗ,2.0,0.0,142,131,134
807,ΟΔΟ,1.0,1.0,142,131,142
808,ΟΔΩ,1.0,0.0,142,131,152
809,ΟΕΛ,0.0,1.0,142,132,138
810,ΟΖΑ,3.0,1.0,142,133,128
811,ΟΖΕ,0.0,1.0,142,133,132
812,ΟΖΗ,1.0,0.0,142,133,134
813,ΟΖΙ,0.0,1.0,142,133,136
814,ΟΗΛ,0.0,1.0,142,134,138
815,ΟΙΑ,3.0,0.0,142,136,128
816,ΟΙΝ,0.0,1.0,142,136,140
817,ΟΙΣ,0.0,2.0,142,136,146
818,ΟΚΑ,1.0,0.0,142,137,128
819,ΟΚΕ,1.0,0.0,142,137,132
820,ΟΚΟ,1.0,1.0,142,137,142
821,ΟΚΡ,0.0,1.0,142,137,144
822,ΟΛΑ,21.0,2.0,142,138,128
823,ΟΛΗ,2.0,0.0,142,138,134
824,ΟΛΙ,1.0,2.0,142,138,136
825,ΟΛΟ,0.0,1.0,142,138,142
826,ΟΛΥ,0.0,2.0,142,138,148
827,ΟΛΦ,1.0,0.0,142,138,149
828,ΟΜΑ,1.0,3.0,142,139,128
829,ΟΜΗ,2.0,0.0,142,139,134
830,ΟΜΙ,0.0,2.0,142,139,136
831,ΟΜΟ,0.0,1.0,142,139,142
832,ΟΜΠ,0.0,1.0,142,139,143
833,ΟΝΑ,31.0,2.0,142,140,128
834,ΟΝΕ,0.0,1.0,142,140,132
835,ΟΝΗ,15.0,3.0,142,140,134
836,ΟΝΙ,1.0,4.0,142,140,136
837,ΟΝΟ,0.0,1.0,142,140,142
838,ΟΝΤ,0.0,2.0,142,140,147
839,ΟΝΥ,0.0,1.0,142,140,148
840,ΟΞΑ,1.0,0.0,142,141,128
841,ΟΞΗ,1.0,0.0,142,141,134
842,ΟΟΣ,0.0,1.0,142,142,146
843,ΟΠΕ,1.0,0.0,142,143,132
844,ΟΠΗ,24.0,1.0,142,143,134
845,ΟΠΟ,1.0,0.0,142,143,142
846,ΟΡΑ,16.0,2.0,142,144,128
847,ΟΡΕ,2.0,2.0,142,144,132
848,ΟΡΖ,0.0,1.0,142,144,133
849,ΟΡΗ,2.0,1.0,142,144,134
850,ΟΡΙ,1.0,5.0,142,144,136
851,ΟΡΚ,0.0,1.0,142,144,137
852,ΟΡΝ,0.0,1.0,142,144,140
853,ΟΡΟ,0.0,3.0,142,144,142
854,ΟΡΡ,0.0,1.0,142,144,144
855,ΟΡΩ,1.0,0.0,142,144,152
856,ΟΣΑ,1.0,0.0,142,146,128
857,ΟΣΕ,4.0,2.0,142,146,132
858,ΟΣΙ,0.0,1.0,142,146,136
859,ΟΣΩ,1.0,1.0,142,146,152
860,ΟΤΑ,4.0,1.0,142,147,128
861,ΟΤΕ,0.0,1.0,142,147,132
862,ΟΤΗ,2.0,0.0,142,147,134
863,ΟΤΙ,0.0,1.0,142,147,136
864,ΟΤΟ,0.0,1.0,142,147,142
865,ΟΤΣ,0.0,1.0,142,147,146
866,ΟΥΑ,1.0,0.0,142,148,128
867,ΟΥΔ,1.0,1.0,142,148,131
868,ΟΥΕ,1.0,0.0,142,148,132
869,ΟΥΖ,2.0,3.0,142,148,133
870,ΟΥΗ,3.0,1.0,142,148,134
871,ΟΥΘ,1.0,0.0,142,148,135
872,ΟΥΙ,1.0,1.0,142,148,136
873,ΟΥΚ,0.0,5.0,142,148,137
874,ΟΥΛ,21.0,9.0,142,148,138
875,ΟΥΜ,2.0,2.0,142,148,139
876,ΟΥΝ,3.0,5.0,142,148,140
877,ΟΥΟ,0.0,1.0,142,148,142
878,ΟΥΠ,0.0,1.0,142,148,143
879,ΟΥΡ,2.0,11.0,142,148,144
880,ΟΥΣ,7.0,19.0,142,148,146
881,ΟΥΤ,0.0,7.0,142,148,147
882,ΟΥΦ,0.0,2.0,142,148,149
883,ΟΦΙ,1.0,0.0,142,149,136
884,ΟΦΟ,0.0,1.0,142,149,142
885,ΠΑ,1.0,0.0,143,128,128
886,ΠΑΖ,0.0,1.0,143,128,133
887,ΠΑΛ,1.0,2.0,143,128,138
888,ΠΑΝ,2.0,4.0,143,128,140
889,ΠΑΡ,1.0,1.0,143,128,144
890,ΠΑΣ,0.0,3.0,143,128,146
891,ΠΑΤ,0.0,1.0,143,128,147
892,ΠΑΥ,0.0,1.0,143,128,148
893,ΠΕΑ,0.0,1.0,143,132,128
894,ΠΕΘ,4.0,0.0,143,132,135
895,ΠΕΚ,1.0,1.0,143,132,137
896,ΠΕΛ,2.0,0.0,143,132,138
897,ΠΕΝ,1.0,2.0,143,132,140
898,ΠΕΡ,3.0,4.0,143,132,144
899,ΠΕΤ,2.0,3.0,143,132,147
900,ΠΗΣ,1.0,1.0,143,134,146
901,ΠΗΤ,0.0,1.0,143,134,147
902,ΠΙΑ,14.0,0.0,143,136,128
903,ΠΙΕ,4.0,0.0,143,136,132
904,ΠΙΚ,0.0,2.0,143,136,137
905,ΠΙΛ,1.0,1.0,143,136,138
906,ΠΙΝ,1.0,0.0,143,136,140
907,ΠΙΟ,1.0,1.0,143,136,142
908,ΠΙΣ,1.0,2.0,143,136,146
909,ΠΙΩ,1.0,0.0,143,136,152
910,ΠΚΑ,1.0,0.0,143,137,128
911,ΠΟΒ,1.0,2.0,143,142,129
912,ΠΟΙ,1.0,1.0,143,142,136
913,ΠΟΛ,0.0,1.0,143,142,138
914,ΠΟΣ,0.0,13.0,143,142,146
915,ΠΟΦ,1.0,0.0,143,142,149
916,ΠΠΑ,0.0,1.0,143,143,128
917,ΠΠΗ,4.0,0.0,143,143,134
918,ΠΠΟ,1.0,0.0,143,143,142
919,ΠΡΑ,1.0,0.0,143,144,128
920,ΠΡΗ,1.0,1.0,143,144,134
921,ΠΡΙ,0.0,3.0,143,144,136
922,ΠΡΟ,0.0,2.0,143,144,142
923,ΠΣΟ,0.0,1.0,143,146,142
924,ΠΤΗ,1.0,1.0,143,147,134
925,ΠΦΟ,1.0,0.0,143,149,142
926,ΠΦΩ,1.0,0.0,143,149,152
927,ΠΩΒ,1.0,0.0,143,152,129
928,ΠΩΛ,0.0,1.0,143,152,138
929,ΠΩΝ,0.0,1.0,143,152,140
930,ΠΩΦ,1.0,0.0,143,152,149
931,ΡΑΖ,1.0,2.0,144,128,133
932,ΡΑΙ,1.0,1.0,144,128,136
933,ΡΑΚ,0.0,3.0,144,128,137
934,ΡΑΛ,1.0,1.0,144,128,138
935,ΡΑΜ,2.0,10.0,144,128,139
936,ΡΑΝ,2.0,15.0,144,128,140
937,ΡΑΡ,0.0,1.0,144,128,144
938,ΡΑΣ,0.0,13.0,144,128,146
939,ΡΑΤ,1.0,4.0,144,128,147
940,ΡΓΑ,1.0,0.0,144,130,128
941,ΡΓΗ,1.0,1.0,144,130,134
942,ΡΓΙ,0.0,4.0,144,130,136
943,ΡΓΚ,2.0,2.0,144,130,137
944,ΡΓΟ,0.0,2.0,144,130,142
945,ΡΔΑ,1.0,0.0,144,131,128
946,ΡΔΙ,0.0,1.0,144,131,136
947,ΡΔΟ,0.0,1.0,144,131,142
948,ΡΕΑ,4.0,2.0,144,132,128
949,ΡΕΙ,0.0,1.0,144,132,136
950,ΡΕΛ,0.0,2.0,144,132,138
951,ΡΕΜ,1.0,7.0,144,132,139
952,ΡΕΝ,2.0,5.0,144,132,140
953,ΡΕΞ,0.0,1.0,144,132,141
954,ΡΕΣ,1.0,0.0,144,132,146
955,ΡΕΤ,1.0,3.0,144,132,147
956,ΡΕΦ,0.0,2.0,144,132,149
957,ΡΖΕ,1.0,0.0,144,133,132
958,ΡΗΝ,1.0,0.0,144,134,140
959,ΡΗΣ,1.0,29.0,144,134,146
960,ΡΗΤ,0.0,1.0,144,134,147
961,ΡΗΦ,0.0,1.0,144,134,149
962,ΡΘΑ,1.0,0.0,144,135,128
963,ΡΙΑ,107.0,0.0,144,136,128
964,ΡΙΔ,1.0,0.0,144,136,131
965,ΡΙΕ,30.0,0.0,144,136,132
966,ΡΙΙ,0.0,1.0,144,136,136
967,ΡΙΚ,1.0,9.0,144,136,137
968,ΡΙΛ,0.0,1.0,144,136,138
969,ΡΙΜ,0.0,12.0,144,136,139
970,ΡΙΝ,1.0,5.0,144,136,140
971,ΡΙΟ,0.0,7.0,144,136,142
972,ΡΙΠ,0.0,1.0,144,136,143
973,ΡΙΣ,4.0,6.0,144,136,146
974,ΡΙΤ,1.0,7.0,144,136,147
975,ΡΙΥ,0.0,2.0,144,136,148
976,ΡΙΦ,0.0,2.0,144,136,149
977,ΡΙΧ,0.0,3.0,144,136,150
978,ΡΙΩ,1.0,0.0,144,136,152
979,ΡΚΑ,4.0,0.0,144,137,128
980,ΡΚΙ,0.0,1.0,144,137,136
981,ΡΚΟ,0.0,2.0,144,137,142
982,ΡΛΑ,2.0,0.0,144,138,128
983,ΡΛΣ,0.0,1.0,144,138,146
984,ΡΜΑ,6.0,0.0,144,139,128
985,ΡΜΗ,1.0,0.0,144,139,134
986,ΡΜΩ,1.0,0.0,144,139,152
987,ΡΝΑ,1.0,0.0,144,140,128
988,ΡΝΗ,1.0,0.0,144,140,134
989,ΡΝΟ,0.0,1.0,144,140,142
990,ΡΝΤ,3.0,13.0,144,140,147
991,ΡΟΒ,0.0,2.0,144,142,129
992,ΡΟΖ,0.0,1.0,144,142,133
993,ΡΟΗ,4.0,0.0,144,142,134
994,ΡΟΚ,0.0,1.0,144,142,137
995,ΡΟΛ,0.0,1.0,144,142,138
996,ΡΟΜ,0.0,1.0,144,142,139
997,ΡΟΝ,0.0,7.0,144,142,140
998,ΡΟΠ,0.0,2.0,144,142,143
999,ΡΟΣ,1.0,77.0,144,142,146
1000,ΡΟΥ,7.0,5.0,144,142,148
1001,ΡΠΗ,1.0,0.0,144,143,134
1002,ΡΡΑ,3.0,0.0,144,144,128
1003,ΡΡΟ,0.0,1.0,144,144,142
1004,ΡΡΥ,0.0,1.0,144,144,148
1005,ΡΣΑ,4.0,0.0,144,146,128
1006,ΡΣΗ,0.0,1.0,144,146,134
1007,ΡΣΙ,0.0,2.0,144,146,136
1008,ΡΣΤ,0.0,1.0,144,146,147
1009,ΡΣΩ,1.0,0.0,144,146,152
1010,ΡΤΑ,10.0,0.0,144,147,128
1011,ΡΤΕ,1.0,0.0,144,147,132
1012,ΡΤΖ,0.0,1.0,144,147,133
1013,ΡΤΙ,0.0,3.0,144,147,136
1014,ΡΤΟ,0.0,2.0,144,147,142
1015,ΡΤΩ,1.0,0.0,144,147,152
1016,ΡΥΣ,1.0,0.0,144,148,146
1017,ΡΦΑ,1.0,0.0,144,149,128
1018,ΡΦΗ,3.0,0.0,144,149,134
1019,ΡΦΩ,3.0,0.0,144,149,152
1020,ΡΩΝ,0.0,5.0,144,152,140
1021,ΡΩΣ,0.0,1.0,144,152,146
1022,ΣΑΒ,0.0,1.0,146,128,129
1023,ΣΑΗ,1.0,0.0,146,128,134
1024,ΣΑΚ,0.0,3.0,146,128,137
1025,ΣΑΛ,0.0,1.0,146,128,138
1026,ΣΑΜ,1.0,3.0,146,128,139
1027,ΣΑΝ,0.0,7.0,146,128,140
1028,ΣΑΡ,1.0,3.0,146,128,144
1029,ΣΔΑ,1.0,0.0,146,131,128
1030,ΣΕΑ,1.0,1.0,146,132,128
1031,ΣΕΒ,0.0,1.0,146,132,129
1032,ΣΕΓ,0.0,1.0,146,132,130
1033,ΣΕΙ,1.0,1.0,146,132,136
1034,ΣΕΛ,3.0,5.0,146,132,138
1035,ΣΕΜ,1.0,2.0,146,132,139
1036,ΣΕΝ,3.0,4.0,146,132,140
1037,ΣΕΡ,2.0,2.0,146,132,144
1038,ΣΕΣ,0.0,1.0,146,132,146
1039,ΣΕΦ,0.0,2.0,146,132,149
1040,ΣΗΜ,0.0,5.0,146,134,139
1041,ΣΗΣ,0.0,22.0,146,134,146
1042,ΣΗΤ,0.0,1.0,146,134,147
1043,ΣΗΦ,0.0,4.0,146,134,149
1044,ΣΙΑ,65.0,2.0,146,136,128
1045,ΣΙΔ,0.0,1.0,146,136,131
1046,ΣΙΕ,3.0,0.0,146,136,132
1047,ΣΙΛ,0.0,4.0,146,136,138
1048,ΣΙΜ,1.0,8.0,146,136,139
1049,ΣΙΝ,0.0,5.0,146,136,140
1050,ΣΙΟ,2.0,11.0,146,136,142
1051,ΣΙΡ,0.0,4.0,146,136,144
1052,ΣΙΩ,2.0,0.0,146,136,152
1053,ΣΚΑ,10.0,1.0,146,137,128
1054,ΣΚΕ,0.0,1.0,146,137,132
1055,ΣΚΗ,1.0,0.0,146,137,134
1056,ΣΚΟ,0.0,2.0,146,137,142
1057,ΣΚΩ,1.0,0.0,146,137,152
1058,ΣΛΑ,1.0,0.0,146,138,128
1059,ΣΜΑ,1.0,0.0,146,139,128
1060,ΣΜΕ,1.0,0.0,146,139,132
1061,ΣΜΗ,1.0,0.0,146,139,134
1062,ΣΜΙ,0.0,2.0,146,139,136
1063,ΣΝΗ,0.0,1.0,146,140,134
1064,ΣΝΙ,0.0,2.0,146,140,136
1065,ΣΟΛ,1.0,0.0,146,142,138
1066,ΣΟΝ,0.0,3.0,146,142,140
1067,ΣΟΣ,0.0,15.0,146,142,146
1068,ΣΟΤ,0.0,1.0,146,142,147
1069,ΣΟΥ,3.0,1.0,146,142,148
1070,ΣΠΩ,1.0,0.0,146,143,152
1071,ΣΣΑ,13.0,0.0,146,146,128
1072,ΣΣΕ,1.0,0.0,146,146,132
1073,ΣΣΗ,2.0,0.0,146,146,134
1074,ΣΣΩ,5.0,0.0,146,146,152
1075,ΣΤΑ,7.0,4.0,146,147,128
1076,ΣΤΕ,1.0,2.0,146,147,132
1077,ΣΤΗ,16.0,4.0,146,147,134
1078,ΣΤΙ,0.0,5.0,146,147,136
1079,ΣΤΟ,0.0,6.0,146,147,142
1080,ΣΤΡ,0.0,1.0,146,147,144
1081,ΣΤΩ,2.0,0.0,146,147,152
1082,ΣΥΝ,1.0,0.0,146,148,140
1083,ΣΧΑ,2.0,0.0,146,150,128
1084,ΣΧΩ,1.0,0.0,146,150,152
1085,ΣΩΝ,0.0,2.0,146,152,140
1086,ΤΑΗ,0.0,1.0,147,128,134
1087,ΤΑΙ,1.0,0.0,147,128,136
1088,ΤΑΚ,0.0,5.0,147,128,137
1089,ΤΑΛ,0.0,3.0,147,128,138
1090,ΤΑΜ,0.0,1.0,147,128,139
1091,ΤΑΝ,5.0,14.0,147,128,140
1092,ΤΑΡ,1.0,11.0,147,128,144
1093,ΤΑΣ,1.0,20.0,147,128,146
1094,ΤΑΤ,0.0,2.0,147,128,147
1095,ΤΑΦ,1.0,0.0,147,128,149
1096,ΤΕ,0.0,1.0,147,132,132
1097,ΤΕΑ,4.0,0.0,147,132,128
1098,ΤΕΛ,1.0,2.0,147,132,138
1099,ΤΕΜ,0.0,3.0,147,132,139
1100,ΤΕΝ,4.0,3.0,147,132,140
1101,ΤΕΟ,0.0,1.0,147,132,142
1102,ΤΕΡ,4.0,16.0,147,132,144
1103,ΤΕΤ,0.0,2.0,147,132,147
1104,ΤΖΑ,5.0,3.0,147,133,128
1105,ΤΖΕ,4.0,2.0,147,133,132
1106,ΤΖΗ,4.0,2.0,147,133,134
1107,ΤΖΙ,3.0,5.0,147,133,136
1108,ΤΖΟ,0.0,2.0,147,133,142
1109,ΤΖΩ,1.0,0.0,147,133,152
1110,ΤΗΒ,0.0,1.0,147,134,129
1111,ΤΗΛ,0.0,1.0,147,134,138
1112,ΤΗΜ,0.0,1.0,147,134,139
1113,ΤΗΝ,0.0,3.0,147,134,140
1114,ΤΗΡ,0.0,1.0,147,134,144
1115,ΤΗΣ,0.0,63.0,147,134,146
1116,ΤΗΦ,0.0,1.0,147,134,149
1117,ΤΙΑ,49.0,4.0,147,136,128
1118,ΤΙΕ,4.0,0.0,147,136,132
1119,ΤΙΖ,1.0,0.0,147,136,133
1120,ΤΙΚ,0.0,6.0,147,136,137
1121,ΤΙΛ,0.0,6.0,147,136,138
1122,ΤΙΜ,0.0,9.0,147,136,139
1123,ΤΙΝ,2.0,38.0,147,136,140
1124,ΤΙΟ,0.0,4.0,147,136,142
1125,ΤΙΡ,1.0,2.0,147,136,144
1126,ΤΙΣ,2.0,3.0,147,136,146
1127,ΤΙΤ,1.0,0.0,147,136,147
1128,ΤΙΩ,1.0,0.0,147,136,152
1129,ΤΚΑ,4.0,0.0,147,137,128
1130,ΤΚΗ,0.0,1.0,147,137,134
1131,ΤΛΑ,1.0,0.0,147,138,128
1132,ΤΜΑ,1.0,0.0,147,139,128
1133,ΤΜΕ,1.0,0.0,147,139,132
1134,ΤΝΑ,1.0,0.0,147,140,128
1135,ΤΟΚ,0.0,2.0,147,142,137
1136,ΤΟΛ,1.0,1.0,147,142,138
1137,ΤΟΜ,0.0,1.0,147,142,139
1138,ΤΟΝ,0.0,5.0,147,142,140
1139,ΤΟΡ,0.0,10.0,147,142,144
1140,ΤΟΣ,0.0,73.0,147,142,146
1141,ΤΟΥ,9.0,3.0,147,142,148
1142,ΤΡΑ,23.0,2.0,147,144,128
1143,ΤΡΗ,1.0,1.0,147,144,134
1144,ΤΡΙ,0.0,10.0,147,144,136
1145,ΤΡΟ,0.0,6.0,147,144,142
1146,ΤΡΩ,1.0,0.0,147,144,152
1147,ΤΣΑ,93.0,1.0,147,146,128
1148,ΤΣΕ,4.0,1.0,147,146,132
1149,ΤΣΗ,3.0,0.0,147,146,134
1150,ΤΣΙ,2.0,2.0,147,146,136
1151,ΤΣΟ,0.0,8.0,147,146,142
1152,ΤΣΩ,2.0,0.0,147,146,152
1153,ΤΤΑ,21.0,0.0,147,147,128
1154,ΤΤΗ,1.0,0.0,147,147,134
1155,ΤΤΥ,1.0,0.0,147,147,148
1156,ΤΦΗ,0.0,1.0,147,149,134
1157,ΤΦΙ,0.0,1.0,147,149,136
1158,ΤΧΙ,0.0,1.0,147,150,136
1159,ΤΩΑ,1.0,0.0,147,152,128
1160,ΤΩΝ,0.0,5.0,147,152,140
1161,ΤΩΡ,0.0,6.0,147,152,144
1162,ΥΑΓ,0.0,1.0,148,128,130
1163,ΥΑΝ,0.0,4.0,148,128,140
1164,ΥΑΡ,0.0,1.0,148,128,144
1165,ΥΑΣ,0.0,3.0,148,128,146
1166,ΥΓΗ,2.0,1.0,148,130,134
1167,ΥΔΑ,14.0,1.0,148,131,128
1168,ΥΕΔ,0.0,1.0,148,132,131
1169,ΥΕΛ,0.0,4.0,148,132,138
1170,ΥΕΝ,0.0,1.0,148,132,140
1171,ΥΕΦ,1.0,0.0,148,132,149
1172,ΥΖΑ,3.0,0.0,148,133,128
1173,ΥΖΕ,2.0,0.0,148,133,132
1174,ΥΖΩ,1.0,0.0,148,133,152
1175,ΥΗΛ,0.0,8.0,148,134,138
1176,ΥΗΣ,1.0,0.0,148,134,146
1177,ΥΘΧ,1.0,0.0,148,135,150
1178,ΥΙΔ,0.0,1.0,148,136,131
1179,ΥΙΜ,0.0,1.0,148,136,139
1180,ΥΙΡ,0.0,2.0,148,136,144
1181,ΥΙΣ,0.0,1.0,148,136,146
1182,ΥΙΦ,0.0,1.0,148,136,149
1183,ΥΚΑ,1.0,2.0,148,137,128
1184,ΥΚΕ,1.0,0.0,148,137,132
1185,ΥΚΗ,2.0,0.0,148,137,134
1186,ΥΛΑ,184.0,10.0,148,138,128
1187,ΥΛΕ,2.0,0.0,148,138,132
1188,ΥΛΗ,9.0,0.0,148,138,134
1189,ΥΛΙ,2.0,3.0,148,138,136
1190,ΥΛΛ,1.0,2.0,148,138,138
1191,ΥΛΟ,0.0,2.0,148,138,142
1192,ΥΛΩ,3.0,0.0,148,138,152
1193,ΥΜΑ,1.0,1.0,148,139,128
1194,ΥΜΒ,0.0,1.0,148,139,129
1195,ΥΜΕ,1.0,0.0,148,139,132
1196,ΥΜΗ,3.0,1.0,148,139,134
1197,ΥΜΠ,0.0,1.0,148,139,143
1198,ΥΝΑ,12.0,0.0,148,140,128
1199,ΥΝΕ,1.0,0.0,148,140,132
1200,ΥΝΗ,8.0,0.0,148,140,134
1201,ΥΝΙ,0.0,1.0,148,140,136
1202,ΥΝΟ,0.0,1.0,148,140,142
1203,ΥΝΤ,1.0,1.0,148,140,147
1204,ΥΝΩ,2.0,0.0,148,140,152
1205,ΥΟΥ,1.0,0.0,148,142,148
1206,ΥΠΑ,1.0,0.0,148,143,128
1207,ΥΠΟ,0.0,1.0,148,143,142
1208,ΥΡΑ,9.0,1.0,148,144,128
1209,ΥΡΗ,4.0,4.0,148,144,134
1210,ΥΡΙ,0.0,11.0,148,144,136
1211,ΥΡΟ,0.0,4.0,148,144,142
1212,ΥΡΤ,0.0,1.0,148,144,147
1213,ΥΡΩ,1.0,0.0,148,144,152
1214,ΥΣΑ,8.0,1.0,148,146,128
1215,ΥΣΕ,7.0,0.0,148,146,132
1216,ΥΣΗ,1.0,1.0,148,146,134
1217,ΥΣΟ,1.0,1.0,148,146,142
1218,ΥΣΥ,1.0,0.0,148,146,148
1219,ΥΣΩ,1.0,0.0,148,146,152
1220,ΥΤΑ,5.0,0.0,148,147,128
1221,ΥΤΗ,3.0,0.0,148,147,134
1222,ΥΤΣ,0.0,1.0,148,147,146
1223,ΥΦΕ,1.0,0.0,148,149,132
1224,ΥΦΩ,1.0,0.0,148,149,152
1225,ΥΧΑ,1.0,0.0,148,150,128
1226,ΥΧΗ,3.0,0.0,148,150,134
1227,ΥΧΙ,1.0,0.0,148,150,136
1228,ΥΨΩ,1.0,0.0,148,151,152
1229,ΥΩΝ,0.0,1.0,148,152,140
1230,ΦΑ,0.0,1.0,149,128,128
1231,ΦΑΝ,1.0,6.0,149,128,140
1232,ΦΑΣ,0.0,1.0,149,128,146
1233,ΦΑΤ,0.0,1.0,149,128,147
1234,ΦΕΡ,2.0,3.0,149,132,144
1235,ΦΕΤ,1.0,1.0,149,132,147
1236,ΦΗΚ,0.0,1.0,149,134,137
1237,ΦΗΣ,0.0,3.0,149,134,146
1238,ΦΙΑ,17.0,0.0,149,136,128
1239,ΦΙΕ,7.0,0.0,149,136,132
1240,ΦΙΚ,0.0,3.0,149,136,137
1241,ΦΙΛ,1.0,3.0,149,136,138
1242,ΦΙΜ,0.0,1.0,149,136,139
1243,ΦΙΡ,0.0,1.0,149,136,144
1244,ΦΙΤ,0.0,3.0,149,136,147
1245,ΦΚΑ,2.0,0.0,149,137,128
1246,ΦΚΙ,0.0,2.0,149,137,136
1247,ΦΛ,0.0,1.0,149,138,138
1248,ΦΝΗ,2.0,0.0,149,140,134
1249,ΦΝΩ,1.0,0.0,149,140,152
1250,ΦΟΝ,1.0,0.0,149,142,140
1251,ΦΟΡ,0.0,2.0,149,142,144
1252,ΦΟΣ,0.0,3.0,149,142,146
1253,ΦΟΥ,1.0,0.0,149,142,148
1254,ΦΤΑ,1.0,0.0,149,147,128
1255,ΦΤΕ,1.0,0.0,149,147,132
1256,ΦΥΑ,1.0,0.0,149,148,128
1257,ΦΥΛ,2.0,0.0,149,148,138
1258,ΦΩΝ,0.0,5.0,149,152,140
1259,ΧΑΖ,0.0,2.0,150,128,133
1260,ΧΑΙ,0.0,3.0,150,128,136
1261,ΧΑΛ,0.0,2.0,150,128,138
1262,ΧΑΝ,6.0,11.0,150,128,140
1263,ΧΑΟ,0.0,1.0,150,128,142
1264,ΧΑΠ,0.0,1.0,150,128,143
1265,ΧΑΡ,2.0,3.0,150,128,144
1266,ΧΑΤ,0.0,2.0,150,128,147
1267,ΧΕΡ,1.0,2.0,150,132,144
1268,ΧΗΛ,0.0,1.0,150,134,138
1269,ΧΗΜ,0.0,3.0,150,134,139
1270,ΧΗΡ,0.0,1.0,150,134,144
1271,ΧΗΣ,0.0,3.0,150,134,146
1272,ΧΙΑ,6.0,1.0,150,136,128
1273,ΧΙΕ,2.0,0.0,150,136,132
1274,ΧΙΛ,1.0,0.0,150,136,138
1275,ΧΙΜ,0.0,1.0,150,136,139
1276,ΧΙΝ,0.0,2.0,150,136,140
1277,ΧΙΡ,0.0,2.0,150,136,144
1278,ΧΙΤ,1.0,1.0,150,136,147
1279,ΧΚΑ,2.0,0.0,150,137,128
1280,ΧΚΕ,1.0,0.0,150,137,132
1281,ΧΜΗ,0.0,2.0,150,139,134
1282,ΧΟΝ,0.0,1.0,150,142,140
1283,ΧΟΣ,0.0,17.0,150,142,146
1284,ΧΟΥ,1.0,0.0,150,142,148
1285,ΧΡ,1.0,0.0,150,144,144
1286,ΧΡΑ,2.0,0.0,150,144,128
1287,ΧΡΕ,1.0,0.0,150,144,132
1288,ΧΡΗ,0.0,3.0,150,144,134
1289,ΧΡΙ,0.0,1.0,150,144,136
1290,ΧΡΥ,1.0,0.0,150,144,148
1291,ΧΡΩ,1.0,0.0,150,144,152
1292,ΧΤΗ,3.0,0.0,150,147,134
